"Path","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"/catalog/karkasnye-doma/pmzh/","2026-03-16 - 2026-06-14","15122.00","2126.00","14.06","5.38","2.77","1203.00","775.00","64.42","4011.00","758.00","18.90","2.42","2.20","8682.00","571.00","6.58","6.35","5.59","1226.00","22.00","1.79","12.53","11.86"
"/catalog/","2026-03-16 - 2026-06-14","12418.00","772.00","6.22","4.00","2.45","1231.00","381.00","30.95","6263.00","222.00","3.54","2.18","2.20","4413.00","154.00","3.49","6.31","5.35","511.00","15.00","2.94","13.74","13.40"
"/articles/osobennosti-i-sovety/kak-vyrovnyat-uchastok-na-dache-i-chto-dlya-etogo-mozhno-ispolzovat/","2026-03-16 - 2026-06-14","12135.00","231.00","1.90","11.01","7.98","14.00","10.00","71.43","157.00","20.00","12.74","2.76","2.70","5936.00","149.00","2.51","7.99","7.21","6028.00","52.00","0.86","14.21","13.56"
"/articles/stroitelstvo/pravila-razmeshcheniya-stroeniy-na-zemelnom-uchastke-v-2026-polnoe-rukovodstvo-dlya-izhs-i-snt/","2026-03-16 - 2026-06-14","9839.00","921.00","9.36","7.49","4.45","451.00","193.00","42.79","1280.00","317.00","24.77","2.51","2.45","6130.00","359.00","5.86","7.19","6.17","1978.00","52.00","2.63","13.14","17.52"
"/catalog/karkasnye-doma/8x8/","2026-03-16 - 2026-06-14","8523.00","261.00","3.06","5.25","2.32","291.00","130.00","44.67","3155.00","78.00","2.47","2.41","2.32","4401.00","52.00","1.18","6.33","5.44","676.00","1.00","0.15","13.31","12.00"
"/mortgage/","2026-03-16 - 2026-06-14","8306.00","523.00","6.30","9.37","2.10","842.00","283.00","33.61","2024.00","183.00","9.04","2.60","2.24","3485.00","51.00","1.46","6.46","5.10","1955.00","6.00","0.31","25.16","24.17"
"/catalog/karkasnye-doma/s-mansardoy/","2026-03-16 - 2026-06-14","8100.00","975.00","12.04","5.22","2.80","648.00","392.00","60.49","2583.00","310.00","12.00","2.49","2.46","4280.00","248.00","5.79","6.33","5.11","589.00","25.00","4.24","13.77","12.44"
"/catalog/karkasnye-doma/polutoraetazhnye/page-2/","2026-03-16 - 2026-06-14","6823.00","3205.00","46.97","1.79","1.51","2904.00","1982.00","68.25","3486.00","1083.00","31.07","2.12","2.10","426.00","140.00","32.86","4.32","4.15","7.00","0.00","0.00","11.29",""
"/catalog/karkasnye-doma/sauna/","2026-03-16 - 2026-06-14","5413.00","520.00","9.61","5.81","3.47","123.00","84.00","68.29","1794.00","253.00","14.10","2.75","2.30","2860.00","171.00","5.98","5.49","5.35","636.00","12.00","1.89","16.80","18.75"
"/catalog/karkasnye-doma/9x9/","2026-03-16 - 2026-06-14","4691.00","275.00","5.86","4.74","1.82","471.00","186.00","39.49","1227.00","53.00","4.32","2.43","2.21","2801.00","33.00","1.18","5.74","4.67","192.00","3.00","1.56","13.95","14.67"
"/catalog/karkasnye-doma/8x6/","2026-03-16 - 2026-06-14","4578.00","205.00","4.48","5.98","2.59","239.00","122.00","51.05","1081.00","34.00","3.15","2.44","2.21","2820.00","44.00","1.56","6.52","5.27","438.00","5.00","1.14","13.99","20.20"
"/catalog/karkasnye-doma/vtoroy-svet/","2026-03-16 - 2026-06-14","4547.00","377.00","8.29","6.05","2.67","266.00","152.00","57.14","1381.00","157.00","11.37","2.39","2.30","2257.00","58.00","2.57","6.56","5.00","643.00","10.00","1.56","14.22","20.20"
"/articles/fundamenty/ustroystvo-uteplennoy-otmostki-polnoe-rukovodstvo-po-montazhu-svoimi-rukami/","2026-03-16 - 2026-06-14","4315.00","109.00","2.53","10.01","7.84","16.00","15.00","93.75","31.00","2.00","6.45","2.71","2.50","2348.00","71.00","3.02","8.33","7.77","1920.00","21.00","1.09","12.26","13.48"
"/articles/osobennosti-i-sovety/teplyj-ugol-v-karkasnom-dome-raznovidnosti-i-osobennosti-montazha/","2026-03-16 - 2026-06-14","4121.00","18.00","0.44","5.56","8.44","668.00","0.00","0.00","1043.00","0.00","0.00","2.25","","1796.00","16.00","0.89","6.98","8.13","614.00","2.00","0.33","11.96","11.00"
"/articles/stroitelstvo/tolshhina-brusa-dlja-sten-bani/","2026-03-16 - 2026-06-14","4082.00","278.00","6.81","7.35","4.89","93.00","33.00","35.48","538.00","105.00","19.52","2.57","2.52","2701.00","112.00","4.15","6.89","5.68","750.00","28.00","3.73","13.20","15.18"
"/catalog/karkasnye-doma/karkasnyij-dom-dk-53/","2026-03-16 - 2026-06-14","3964.00","1.00","0.03","9.18","2.00","1.00","0.00","0.00","33.00","1.00","3.03","2.55","2.00","2638.00","0.00","0.00","8.07","","1292.00","0.00","0.00","11.64",""
"/articles/stroitelstvo/kak-vypolnyaetsya-raschet-vesa-karkasnogo-doma/","2026-03-16 - 2026-06-14","3758.00","157.00","4.18","6.53","4.26","57.00","15.00","26.32","711.00","54.00","7.59","2.59","2.48","2502.00","84.00","3.36","6.65","5.63","488.00","4.00","0.82","12.30","11.75"
"/catalog/karkasnye-doma/raznourovnevaya/","2026-03-16 - 2026-06-14","3551.00","244.00","6.87","6.60","4.57","61.00","16.00","26.23","800.00","115.00","14.37","2.69","2.63","2074.00","97.00","4.68","6.48","5.62","616.00","16.00","2.60","12.62","15.81"
"/articles/stroitelstvo/pravilnoe-raspolozhenie-doma-otnositelno-storon-sveta/","2026-03-16 - 2026-06-14","3150.00","64.00","2.03","9.40","5.88","9.00","5.00","55.56","130.00","13.00","10.00","2.66","2.46","1799.00","44.00","2.45","7.78","7.14","1212.00","2.00","0.17","12.59","12.50"
"/catalog/karkasnye-doma/bolshie-doma/","2026-03-16 - 2026-06-14","2680.00","10.00","0.37","6.70","5.60","2.00","0.00","0.00","282.00","3.00","1.06","2.78","2.33","2190.00","6.00","0.27","6.74","6.17","206.00","1.00","0.49","11.77","12.00"
"/catalog/karkasnye-doma/polutoraetazhnye/","2026-03-16 - 2026-06-14","2671.00","363.00","13.59","5.64","2.42","263.00","187.00","71.10","604.00","92.00","15.23","2.63","2.33","1550.00","76.00","4.90","6.34","4.76","254.00","8.00","3.15","13.37","14.38"
"/articles/inzhenernye-sistemy/inzhenernye-kommunikatsii-v-chastnom-dome-vidy-osobennosti-i-optimalnye-sroki-podklyucheniya/","2026-03-16 - 2026-06-14","2659.00","56.00","2.11","7.57","5.34","131.00","4.00","3.05","283.00","25.00","8.83","2.62","2.48","1669.00","21.00","1.26","7.18","6.00","576.00","6.00","1.04","12.64","17.83"
"/articles/osobennosti-i-sovety/kotelnaya-v-karkasnom-dome-osobennosti-obustrojstva/","2026-03-16 - 2026-06-14","2642.00","89.00","3.37","8.52","6.18","9.00","4.00","44.44","198.00","24.00","12.12","2.67","2.67","1675.00","47.00","2.81","7.24","6.19","760.00","14.00","1.84","12.97","13.64"
"/designer/","2026-03-16 - 2026-06-14","2527.00","340.00","13.45","9.05","7.14","39.00","21.00","53.85","203.00","63.00","31.03","2.65","2.57","1610.00","200.00","12.42","7.30","6.37","675.00","56.00","8.30","15.63","17.34"
"/articles/fundamenty/produhi-v-fundamente-dlya-derevyannogo-doma/","2026-03-16 - 2026-06-14","2503.00","45.00","1.80","10.00","8.82","8.00","2.00","25.00","36.00","3.00","8.33","2.81","2.33","1412.00","31.00","2.20","8.04","6.87","1047.00","9.00","0.86","12.96","19.44"
"/catalog/doma-pod-klyuch/","2026-03-16 - 2026-06-14","2475.00","22.00","0.89","7.12","2.77","38.00","6.00","15.79","299.00","12.00","4.01","2.60","2.83","1679.00","4.00","0.24","6.67","5.25","459.00","0.00","0.00","12.23",""
"/articles/osobennosti-i-sovety/opasnyy-zhuk-koroed-kak-izbavitsya-ot-nego-v-derevyannom-dome/","2026-03-16 - 2026-06-14","2474.00","17.00","0.69","16.74","10.41","1.00","1.00","100.00","38.00","2.00","5.26","2.53","2.00","859.00","12.00","1.40","8.09","7.75","1576.00","2.00","0.13","21.81","39.50"
"/articles/stroitelstvo/membrany-dlya-karkasnogo-doma/","2026-03-16 - 2026-06-14","2130.00","63.00","2.96","9.67","6.37","18.00","3.00","16.67","91.00","14.00","15.38","2.59","2.36","1163.00","35.00","3.01","7.78","6.20","858.00","11.00","1.28","13.16","13.45"
"/articles/stroitelstvo/shpilki-v-brusovom-domostroenii-neobhodimost-ili-lishnyaya-detal/","2026-03-16 - 2026-06-14","1990.00","52.00","2.61","8.31","5.58","10.00","4.00","40.00","116.00","14.00","12.07","2.53","2.43","1305.00","27.00","2.07","7.15","5.96","559.00","7.00","1.25","12.35","13.00"
"/articles/osobennosti-i-sovety/produvka-doma-aerodveryu-chto-eto-i-zachem-nuzhno/","2026-03-16 - 2026-06-14","1929.00","18.00","0.93","8.27","5.78","3.00","2.00","66.67","69.00","2.00","2.90","2.78","3.00","1360.00","12.00","0.88","6.84","5.42","497.00","2.00","0.40","13.00","15.50"
"/articles/stroitelstvo/kupel-v-bane-naznachenie-i-vidy/","2026-03-16 - 2026-06-14","1874.00","25.00","1.33","9.57","5.48","6.00","1.00","16.67","121.00","8.00","6.61","2.52","2.25","1021.00","15.00","1.47","8.00","7.13","726.00","1.00","0.14","13.03","11.00"
"/catalog/karkasnye-doma/karkasnyij-dom-dk-25/","2026-03-16 - 2026-06-14","1846.00","51.00","2.76","4.12","3.73","6.00","4.00","66.67","592.00","14.00","2.36","2.95","2.50","1217.00","32.00","2.63","4.44","4.34","31.00","1.00","3.23","14.42","12.00"
"/articles/osobennosti-i-sovety/naznachenie-i-osnovnye-osobennosti-rigelej-v-karkasnom-dome/","2026-03-16 - 2026-06-14","1769.00","48.00","2.71","9.49","8.19","2.00","1.00","50.00","41.00","4.00","9.76","2.71","3.00","1179.00","35.00","2.97","7.77","6.66","547.00","8.00","1.46","13.72","18.38"
"/articles/stroitelstvo/pravilnyie-otkosyi-okon-v-karkasnom-dome/","2026-03-16 - 2026-06-14","1768.00","56.00","3.17","8.95","7.07","3.00","2.00","66.67","33.00","5.00","15.15","2.55","2.20","1324.00","42.00","3.17","7.77","7.12","408.00","7.00","1.72","13.37","12.00"
"/articles/stroitelstvo/frontony-v-derevyannom-dome-iz-brusa-ili-karkasnye/","2026-03-16 - 2026-06-14","1661.00","42.00","2.53","9.71","7.43","3.00","0.00","0.00","23.00","2.00","8.70","2.48","2.00","1132.00","37.00","3.27","8.28","6.86","503.00","3.00","0.60","13.30","18.00"
"/articles/stroitelstvo/zashhita-ot-gnieniya-nizhnih-vencov-doma-iz-brusa/","2026-03-16 - 2026-06-14","1656.00","45.00","2.72","10.17","8.93","1.00","0.00","0.00","24.00","1.00","4.17","2.83","3.00","977.00","34.00","3.48","8.25","7.53","654.00","10.00","1.53","13.31","14.30"
"/catalog/karkasnye-doma/pryamaya/","2026-03-16 - 2026-06-14","1626.00","161.00","9.90","7.79","1.52","147.00","116.00","78.91","169.00","34.00","20.12","2.41","2.12","752.00","11.00","1.46","7.15","5.09","558.00","0.00","0.00","12.06",""
"/articles/stroitelstvo/zakladnye-v-karkasnom-dome/","2026-03-16 - 2026-06-14","1566.00","54.00","3.45","8.42","5.96","13.00","3.00","23.08","98.00","10.00","10.20","2.51","2.40","1073.00","36.00","3.36","7.32","6.33","382.00","5.00","1.31","13.26","13.40"
"/articles/stroitelstvo/attikovye-steny-plyusy-i-minusy/","2026-03-16 - 2026-06-14","1559.00","15.00","0.96","7.67","9.07","1.00","0.00","0.00","46.00","1.00","2.17","2.65","2.00","1354.00","13.00","0.96","7.30","7.69","158.00","1.00","0.63","12.35","34.00"
"/articles/stroitelstvo/materialy-dlya-pokrytiya-derevyannogo-krylca/","2026-03-16 - 2026-06-14","1552.00","81.00","5.22","9.64","6.84","10.00","1.00","10.00","80.00","13.00","16.25","2.69","2.62","920.00","57.00","6.20","7.58","6.58","542.00","10.00","1.85","14.32","14.40"
"/articles/stroitelstvo/snegovaya-i-vetrovaya-nagruzka-v-leningradskoy-oblasti-kak-uchest-chtoby-postroit-nadezhnyy-karkasny/","2026-03-16 - 2026-06-14","1526.00","64.00","4.19","5.99","2.92","27.00","9.00","33.33","391.00","38.00","9.72","2.46","2.37","936.00","17.00","1.82","6.41","5.18","172.00","0.00","0.00","12.53",""
"/catalog/karkasnye-doma/top/","2026-03-16 - 2026-06-14","1451.00","364.00","25.09","2.42","1.62","360.00","220.00","61.11","778.00","114.00","14.65","2.24","2.15","311.00","30.00","9.65","4.47","4.17","2.00","0.00","0.00","12.50",""
"/catalog/karkasnye-doma/malenkie-doma/","2026-03-16 - 2026-06-14","1330.00","5.00","0.38","9.39","19.40","1.00","1.00","100.00","55.00","0.00","0.00","2.58","","846.00","2.00","0.24","7.76","9.50","428.00","2.00","0.47","13.51","38.50"
"/portfolio/karkasnye-doma/","2026-03-16 - 2026-06-14","1291.00","16.00","1.24","9.98","9.25","1.00","0.00","0.00","10.00","0.00","0.00","2.60","","739.00","11.00","1.49","8.55","8.00","541.00","5.00","0.92","12.09","12.00"
"/catalog/karkasnye-doma/5-spalen/","2026-03-16 - 2026-06-14","1120.00","33.00","2.95","7.82","8.42","9.00","2.00","22.22","91.00","5.00","5.49","2.74","2.60","822.00","19.00","2.31","6.54","6.16","198.00","7.00","3.54","15.77","20.86"
"/catalog/karkasnye-doma/ot-150m2/","2026-03-16 - 2026-06-14","1082.00","29.00","2.68","8.20","4.31","15.00","3.00","20.00","108.00","15.00","13.89","2.57","2.60","729.00","9.00","1.23","7.31","6.67","230.00","2.00","0.87","14.13","11.50"
"/catalog/karkasnye-doma/6x6/","2026-03-16 - 2026-06-14","1061.00","241.00","22.71","3.28","1.52","552.00","188.00","34.06","202.00","44.00","21.78","2.22","2.18","240.00","7.00","2.92","6.83","6.71","67.00","2.00","2.99","12.54","18.00"
"/articles/vybiraem/chto-predpochest-dlya-soedineniya-brusa-nageli-ili-gvozdi/","2026-03-16 - 2026-06-14","1011.00","27.00","2.67","9.84","7.37","2.00","0.00","0.00","32.00","5.00","15.63","2.66","2.60","581.00","18.00","3.10","7.96","7.28","396.00","4.00","1.01","13.23","13.75"
"/articles/stroitelstvo/gipsokarton-v-karkasnom-dome-preimushhestva-i-nedostatki-materiala/","2026-03-16 - 2026-06-14","974.00","21.00","2.16","10.07","7.76","1.00","0.00","0.00","12.00","2.00","16.67","2.50","2.00","557.00","17.00","3.05","8.17","8.00","404.00","2.00","0.50","12.93","11.50"
"/articles/stroitelstvo/razmer-i-raspolozhenie-komnat-v-dome/","2026-03-16 - 2026-06-14","966.00","21.00","2.17","10.94","7.90","3.00","2.00","66.67","28.00","5.00","17.86","2.50","2.60","466.00","9.00","1.93","7.89","6.11","469.00","5.00","1.07","14.53","19.20"
"/articles/remont-i-otdelka/chem-otdelat-potolok-v-karkasnom-dome/","2026-03-16 - 2026-06-14","939.00","23.00","2.45","7.77","7.04","1.00","1.00","100.00","50.00","1.00","2.00","2.88","3.00","707.00","17.00","2.40","7.00","6.59","181.00","4.00","2.21","12.15","11.50"
"/articles/fundamenty/kamunikacii-dom-na-svayah/","2026-03-16 - 2026-06-14","918.00","35.00","3.81","9.23","8.31","1.00","1.00","100.00","10.00","0.00","0.00","2.70","","608.00","26.00","4.28","7.65","6.58","299.00","8.00","2.68","12.68","14.88"
"/articles/stroitelstvo/dachny-karkasny-dom-s-saunoy/","2026-03-16 - 2026-06-14","913.00","50.00","5.48","7.39","4.12","7.00","4.00","57.14","109.00","20.00","18.35","2.73","2.55","621.00","26.00","4.19","6.74","5.81","176.00","0.00","0.00","12.82",""
"/catalog/karkasnye-doma/4-spalni/","2026-03-16 - 2026-06-14","902.00","13.00","1.44","9.50","10.77","2.00","0.00","0.00","94.00","3.00","3.19","2.73","2.33","569.00","3.00","0.53","7.53","5.67","237.00","7.00","2.95","16.99","16.57"
"/articles/stroitelstvo/organizaciya-teplogo-pogreba-v-karkasnom-dome-na-svayah/","2026-03-16 - 2026-06-14","890.00","37.00","4.16","9.46","7.81","1.00","0.00","0.00","17.00","6.00","35.29","2.65","2.67","591.00","24.00","4.06","8.39","7.71","281.00","7.00","2.49","12.15","12.57"
"/catalog/karkasnye-doma/karkasnyij-dom-dk-13/","2026-03-16 - 2026-06-14","870.00","14.00","1.61","5.28","2.93","8.00","2.00","25.00","328.00","8.00","2.44","2.96","2.88","434.00","4.00","0.92","4.91","4.00","100.00","0.00","0.00","14.82",""
"/articles/stroitelstvo/styazhka-v-karkasnom-dome-na-svayax/","2026-03-16 - 2026-06-14","854.00","20.00","2.34","9.36","9.00","2.00","1.00","50.00","20.00","1.00","5.00","2.60","3.00","540.00","16.00","2.96","8.02","7.88","292.00","2.00","0.68","12.35","25.00"
"/articles/stroitelstvo/osnovnyie-uglovyie-soedineniya-brusa-vyibiraem-luchshee/","2026-03-16 - 2026-06-14","826.00","18.00","2.18","11.73","10.67","2.00","0.00","0.00","14.00","0.00","0.00","2.93","","396.00","9.00","2.27","8.16","7.56","414.00","9.00","2.17","15.50","13.78"
"/articles/stroitelstvo/kogda-i-kak-uteplyat-dom-iz-profilirovannogo-brusa/","2026-03-16 - 2026-06-14","824.00","20.00","2.43","9.52","8.60","0.00","0.00","","14.00","1.00","7.14","2.64","3.00","557.00","16.00","2.87","7.82","6.81","253.00","3.00","1.19","13.64","20.00"
"/foundations/","2026-03-16 - 2026-06-14","807.00","2.00","0.25","7.67","5.00","3.00","0.00","0.00","41.00","0.00","0.00","2.61","","660.00","2.00","0.30","7.30","5.00","103.00","0.00","0.00","12.21",""
"/catalog/karkasnye-doma/dk-200/","2026-03-16 - 2026-06-14","789.00","429.00","54.37","1.84","1.12","504.00","390.00","77.38","165.00","37.00","22.42","2.33","2.22","116.00","2.00","1.72","4.46","4.00","4.00","0.00","0.00","11.75",""
"/articles/stroitelstvo/karkasnyj-dom-s-odnoskatnoj-kryshej-osnovnye-preimushhestva-i-nedostatki/","2026-03-16 - 2026-06-14","745.00","19.00","2.55","10.59","7.58","9.00","3.00","33.33","17.00","0.00","0.00","2.59","","339.00","13.00","3.83","8.00","7.08","380.00","3.00","0.79","13.50","16.33"
"/articles/stroitelstvo/kak-i-gde-raspolozhit-banyu-na-uchastke/","2026-03-16 - 2026-06-14","736.00","18.00","2.45","10.15","9.11","0.00","0.00","","11.00","0.00","0.00","2.73","","390.00","11.00","2.82","8.12","7.36","335.00","7.00","2.09","12.76","11.86"
"/engineering/","2026-03-16 - 2026-06-14","730.00","2.00","0.27","7.52","4.00","0.00","0.00","","25.00","1.00","4.00","2.76","3.00","652.00","1.00","0.15","7.08","5.00","53.00","0.00","0.00","15.06",""
"/articles/stroitelstvo/otapl-mansard-etazh-dom/","2026-03-16 - 2026-06-14","715.00","18.00","2.52","8.99","6.83","0.00","0.00","","9.00","2.00","22.22","2.78","2.50","537.00","15.00","2.79","8.20","7.07","169.00","1.00","0.59","11.83","12.00"
"/about/","2026-03-16 - 2026-06-14","684.00","19.00","2.78","2.13","1.42","140.00","12.00","8.57","494.00","7.00","1.42","2.06","2.14","44.00","0.00","0.00","5.09","","6.00","0.00","0.00","12.83",""
"/articles/osobennosti-i-sovety/kak-zadelat-treshhiny-i-shheli-v-bruse/","2026-03-16 - 2026-06-14","682.00","14.00","2.05","11.57","13.29","0.00","0.00","","10.00","0.00","0.00","2.60","","323.00","5.00","1.55","8.18","6.80","349.00","9.00","2.58","14.97","16.89"
"/articles/stroitelstvo/nuzhno-li-obshivat-banyu-vnutri/","2026-03-16 - 2026-06-14","659.00","19.00","2.88","9.06","7.26","1.00","1.00","100.00","12.00","0.00","0.00","2.67","","481.00","17.00","3.53","7.82","7.35","165.00","1.00","0.61","13.19","12.00"
"/articles/osobennosti-i-sovety/osnovnye-osobennosti-v-stroitelstve-mansardnogo-etazha/","2026-03-16 - 2026-06-14","655.00","1.00","0.15","14.98","9.00","0.00","0.00","","3.00","0.00","0.00","2.67","","208.00","1.00","0.48","8.45","9.00","444.00","0.00","0.00","18.13",""
"/catalog/karkasnye-doma/8x7/","2026-03-16 - 2026-06-14","607.00","127.00","20.92","4.60","1.52","166.00","114.00","68.67","105.00","10.00","9.52","2.48","2.10","299.00","2.00","0.67","6.39","6.00","37.00","1.00","2.70","12.24","46.00"
"/catalog/karkasnye-doma/sovremennyy/","2026-03-16 - 2026-06-14","581.00","82.00","14.11","2.27","1.21","168.00","67.00","39.88","328.00","15.00","4.57","2.13","2.13","79.00","0.00","0.00","4.78","","6.00","0.00","0.00","11.83",""
"/articles/stroitelstvo/otmostka-vokrug-derevyannogo-doma-naznachenie-vidy/","2026-03-16 - 2026-06-14","559.00","14.00","2.50","8.87","7.29","3.00","2.00","66.67","15.00","1.00","6.67","2.80","3.00","391.00","9.00","2.30","7.83","7.89","150.00","2.00","1.33","12.32","13.00"
"/articles/stroitelstvo/chem-zadelat-shvy-mezhdu-brusjami-v-derevjannom-dome/","2026-03-16 - 2026-06-14","548.00","11.00","2.01","11.45","9.64","0.00","0.00","","18.00","0.00","0.00","2.78","","282.00","8.00","2.84","8.05","7.13","248.00","3.00","1.21","15.93","16.33"
"/articles/stroitelstvo/gazifikaciya-derevyannogo-doma/","2026-03-16 - 2026-06-14","529.00","7.00","1.32","9.64","7.86","8.00","0.00","0.00","1.00","1.00","100.00","3.00","3.00","338.00","4.00","1.18","8.50","7.50","182.00","2.00","1.10","12.16","11.00"
"/catalog/karkasnye-doma/7x7/","2026-03-16 - 2026-06-14","528.00","13.00","2.46","8.13","6.31","18.00","9.00","50.00","55.00","1.00","1.82","2.45","2.00","328.00","1.00","0.30","7.12","9.00","127.00","2.00","1.57","14.18","31.00"
"/articles/stroitelstvo/osobennosti-ustrojstva-dymohoda-pechi-v-odnoskatnoj-kryshe/","2026-03-16 - 2026-06-14","525.00","48.00","9.14","7.54","6.54","7.00","4.00","57.14","70.00","12.00","17.14","2.54","2.50","339.00","27.00","7.96","6.73","6.67","109.00","5.00","4.59","13.72","20.00"
"/articles/fundamenty/fund-dom-6x6/","2026-03-16 - 2026-06-14","486.00","20.00","4.12","9.75","5.25","1.00","1.00","100.00","31.00","8.00","25.81","2.74","2.50","292.00","9.00","3.08","7.40","6.78","162.00","2.00","1.23","15.38","11.50"
"/articles/stroitelstvo/kakoj-vid-uglov-ispolzovat-v-karkasnom-dome/","2026-03-16 - 2026-06-14","480.00","8.00","1.67","10.05","13.00","4.00","1.00","25.00","3.00","0.00","0.00","3.00","","234.00","2.00","0.85","8.30","7.50","239.00","5.00","2.09","12.01","17.60"
"/articles/osobennosti-i-sovety/funktsionalnoe-zonirovanie-zhilogo-doma-kak-organizovat-prostranstvo-dlya-zhizni/","2026-03-16 - 2026-06-14","473.00","20.00","4.23","8.25","5.80","13.00","1.00","7.69","58.00","4.00","6.90","2.31","2.25","276.00","14.00","5.07","7.43","6.71","126.00","1.00","0.79","13.54","12.00"
"/katalog/karkasnyie-doma/dk-128?utm_source=yandex&utm_medium=cpc&utm_campaign=Karkas-RSYA-SPB-OK|{campaign_id}&gbid={gbid}&utm_term={PHRASE}&type={source_type}&source={source}&calltouch_tm=yd_c:{campaign_id}_gb:{gbid}_ad:{ad_id}_ph:{phrase_id}_st:{source_type}_pt:{position_type}_p:{position}_s:{source}_dt:{device_type}_reg:{region_id}_ret:{retargeting_id}_apt:{addphrasestext}","2026-03-16 - 2026-06-14","473.00","473.00","100.00","6.91","6.91","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","467.00","467.00","100.00","6.88","6.88","5.00","5.00","100.00","11.00","11.00"
"/articles/stroitelstvo/pokraska-phasad-karkas-dom/","2026-03-16 - 2026-06-14","462.00","5.00","1.08","16.21","6.20","3.00","3.00","100.00","2.00","0.00","0.00","3.00","","107.00","1.00","0.93","7.74","8.00","350.00","1.00","0.29","19.00","20.00"
"/catalog/karkasnye-doma/2-spalni/","2026-03-16 - 2026-06-14","460.00","9.00","1.96","8.54","9.78","4.00","1.00","25.00","32.00","2.00","6.25","2.72","2.00","302.00","3.00","0.99","7.48","7.33","122.00","3.00","2.46","12.93","20.33"
